CodCopidrogas,EAN BARRAS
200012129,7707228360741
200012130,7707228360758
200012131,7707228360765
200032351,7707228360796
200032350,7707228360819
200032349,7707228360833
200034440,7702010911514
200019451,7702010921452
200036995,7702010921551
200032348,7707228360857
200032347,7707228360871
200036994,7702010921513
200036993,7702010921506
200034439,7702010921261
200017678,7707228360666
100011620,7707236679279
100000204,7707236671549
100011440,7707236671105
100000210,7707236670290
100000213,7707236672119
200029927,7707101103342
200029929,7707101103083
100000214,7707236678562
200026096,7702026342999
100023264,7707397790349
100019645,7707236672904
100021680,7707236673086
100022621,7707236676087
100023668,7707236676070
100015042,7707236673048
200016565,7702310020312
200031133,7702010921230
200037051,7702031277095
100022675,7702132221430
200032888,7702425800809
100013210,7707236674274
100000219,7707236677299
100000220,7707236670658
100023903,7707236670894
100015040,7707236679514
100000222,7707236677985
200036628,7702031602057
100009293,7707236672195
200029317,0
200029318,7702031571490
100020138,7707236670153
100018180,7707236675578
200032914,7702001103997
200036356,7702006200615
200032917,7702001104024
200032918,7702001104031
200032912,7702001103973
200032913,7702001103980
200032915,7702001104000
200032916,7702001104017
200034697,7707178603332
100016863,4104480705717
200034696,7707178603356
200002004,7707260161740
200010041,7707145300615
200034691,7707178603363
200016729,7706929104968
100016872,7703283401740
200025657,7707178602861
100016871,7703283401757
A634122,77031660024398
A634134,77031660024466
200025986,7707178603240
200024158,7707145300042
200025655,7707178602946
200015564,7702645100413
200029418,7703166003603
200025654,7707178602953
200025653,7707178602960
200025984,7707178603219
200025930,7707178602779
200025667,7707178602793
200022250,7703166003085
200033881,7707274910242
200022244,7703166002613
200002006,7707260160033
200025658,7707178602816
200019216,7707242010189
200025663,7707178602892
200025661,7707178602915
200025651,7707178603004
200004432,7706183360001
200020488,7706183391067
200036954,9310714221259
200004434,7706183370000
200014521,7702661073029
200035768,7707145302732
200004437,7706183380009
200020490,7706183391074
200024155,7707145302428
200027783,7705471100817
200018315,7706183381006
200027784,7705471100664
200027785,7705471100756
200024153,7707145302381
200021450,7707145301926
200024150,7707145302411
100000241,77011121
200024152,7707145302404
200021448,7707145301919
100007775,6001390124479
100004546,7707213870088
200021451,7707145301933
200021453,7707145302220
200024156,7707145302589
200024157,7707145302152
200024151,7707145302596
100007798,6091403202553
100007799,6091403202263
100001965,74410248
200019680,7707232091266
100001967,74410279
200033151,7707274912956
200019431,7707232091235
100001966,74410262
100011702,7707213870255
200024732,7502253070784
200033150,7707274910211
200017905,7702645200632
200024733,7502253070791
200024730,7502253070753
200024731,7502253070760
200034317,7707265992042
200004180,7502253071651
200004181,7502253071675
200019432,7707232091792
200016242,7707260160569
200026280,7502253071668
200030721,7502253071705
200019214,7707242010233
200024734,7502253070722
200024735,7502253070739
200004179,7502253071682
200022602,7502253071637
100000277,7501098607728
200019213,7707242010271
200019433,7707232091273
100018972,7896206405502
100004776,7703153000028
